SQUARE_FT,TARGET(PRICE_IN_LACS)
4500,270
4500,99
4499.82693,650
4482.071713,360
4480.286738,400
4476.854202,970
4465.709729,280
4457.225018,310
4450.11996,1150
4448.838359,270
4441.846873,380
4425.354679,340
4405.286344,110
4401.408451,200
4400.633691,250
4400.586745,330
4400.586745,330
4400.586745,330
4400.586745,330
4400,220
4399.748586,350
4398.826979,330
4389.815628,200
4356.740133,85
4355.155943,310
4350.405379,440
4350.190321,800
4336.399474,99
4335.260116,210
4332.073094,550
4310.344828,360
4310.344828,370
4307.692308,560
4303.388919,240
4300.363877,130
4300.150505,800
4299.996417,1200
4290.575529,290
4285.034122,270
4279.069767,460
4268.529298,220
4265.565875,620
4259.283908,320
4259.259259,230
4258.517034,170
4250,340
4247.460757,230
4230.769231,110
4200.50406,300
4200.096925,780
4200.063001,1200
4200.063001,1200
4200.063001,1200
4200.0336,4500
4200.019765,1700
4175.878163,170
4175.064785,290
4175.0167,1000
4171.253114,720
4166.666667,220
4160.098091,950
4158.580538,300
4153.269025,310
4152.82392,50
4152.028106,130
4150.607768,420
4150.238639,400
4149.81911,390
4144.086707,130
4136.231629,470
4133.333333,310
4119.100859,350
4110.813226,230
4100.76157,210
4100.461302,240
4100.361222,420
4100.299637,260
4100.299637,260
4099.888185,550
4098.360656,250
4095.252541,270
4092.769441,120
4086.956522,470
4084.96732,25
4082.914573,65
4082.082966,370
4078.014184,920
4078.014184,920
4074.630066,380
4067.79661,120
4067.520846,200
4052.849153,500
4049.988429,350
4040.40404,400
4037.399065,190
4035.795754,230
4021.847071,810
4021.110832,480
4019.292605,250
4009.970738,370
4000.800961,99.9
4000,140
4000,400
4000,600
4000,350
4000,300
4000,100
4000,3200
4000,380
4000,600
4000,180
4000,180
4000,360
4000,55
4000,170
4000,1600
4000,1400
4000,73
4000,1000
4000,150
4000,1400
4000,500
4000,73
4000,250
4000,350
3988.035892,320
3987.467958,140
3984.470781,390
3984.313725,1270
3984.313725,1270
3980.288097,210
3979.977023,970
3979.210655,490
3965.217391,570
3954.132068,300
3947.820117,230
3944.773176,180
3944.254536,150
3939.393939,130
3939.393939,390
3938.461538,320
3938.461538,320
3938.461538,320
3931.137319,580
3931.034483,570
3915.055167,330
3900.236067,380
3900.011143,2100
3899.946208,290
3899.835796,380
3899.835796,380
3895.381191,350
3894.736842,370
3890.489914,270
3890.392422,230
3887.908604,1300
3887.887463,1100
3885.714286,170
3866.666667,290
3859.435304,380
3851.797506,210
3850.641774,330
3850.385039,350
3850.160801,850
3850.102669,300
3850.050659,380
3850.050659,380
3850.050659,380
3849.798626,650
3846.153846,250
3846.153846,250
3844.208397,380
3844.155844,370
3844.155844,370
3843.819543,380
3840.035109,1400
3840,240
3840,120
3829.787234,360
3825.022602,550
3815.789474,290
3811.252269,420
3810.431055,320
3809.52381,240
3800.967519,55
3800.114003,1200
3800.08261,460
3800.02375,1600
3800.02375,1600
3800,380
3800,950
3799.654577,330
3780.068729,220
3775.484521,300
3775.365739,320
3774.534474,300
3771.213074,240
3769.926756,700
3764.705882,960
3764.705882,320
3764.544832,220
3763.207411,260
3760.766711,310
3750.375038,250
3750.170462,550
3750.161645,290
3750,1800
3740.182022,300
3739.715782,350
3726.31412,470
3706.34355,260
3705.075954,200
3705.010586,210
3702.221333,370
3700.414446,250
3693.002846,1700
3689.572764,1760
3684.210526,280
3672.131148,280
3666.666667,330
3664.810769,520
3664.810769,520
3650.745361,120
3650.240584,220
3650.227125,450
3650.137741,530
3649.293534,390
3649.056005,230
3648.303539,300
3640.28583,270
3640.145606,280
3632.589517,280
3625.290023,250
3622.796583,670
3621.234302,470
3619.047619,380
3604.963112,430
3600.782779,92
3600.272453,370
3600.230415,250
3600.230415,250
3600.082288,1400
3600.065456,1100
3600.05434,530
3600.036,1600
3600.036,2000
3600,79.2
3599.712023,250
3599.114064,65
3596.25989,300
3596.230159,290
3596.198305,280
3596.146017,530
3594.697821,320
3594.27353,590
3590.384015,230
3589.672788,520
3586.678053,210
3584.229391,290
3582.01581,290
3572.704537,200
3571.428571,260
3571.074298,360
3563.596491,130
3563.437474,430
3562.340967,420
3562.225254,470
3559.592488,290
3559.322034,420
3558.718861,110
3554.165482,250
3552.243979,410
3550.295858,360
3550.069636,1300
3542.857143,310
3539.823009,220
3536.693192,240
3536.568114,250
3533.123028,280
3524.392506,190
3520.261973,430
3520.048975,2300
3518.576012,340
3516.121792,470
3510.531595,140
3501.361641,630
3500.42005,250
3500.228276,230
3500.175009,600
3500.175009,600
3500.072918,1200
3500.063638,1100
3500.038889,450
3500.028,1250
3500.011667,1500
3500,1050
3500,1400
3500,350
3499.981579,950
3499.952273,1100
3499.930001,250
3499.930001,500
3499.798089,520
3499.766682,450
3498.098859,690
3498.098859,690
3495.947879,220
3487.894953,170
3486.750349,400
3486.671915,310
3486.055777,140
3483.065097,290
3481.766538,190
3474.009264,270
3473.491773,190
3472.222222,310
3470.006828,3100
3469.052401,190
3466.666667,260
3459.067699,420
3458.366587,260
3457.392719,510
3454.894434,360
3454.545455,190
3454.060989,350
3450.557103,99.1
3450.106157,130
3449.975357,350
3444.316877,270
3443.187408,210
3441.405542,190
3433.996566,340
3430.015646,570
3429.355281,100
3428.571429,360
3428.571429,180
3428.571429,1680
3428.571429,1680
3427.818062,260
3418.803419,140
3417.45531,390
3410.532995,430
3410.518758,190
3410.159925,290
3409.936348,1650
3406.173034,650
3405.865658,180
3403.014098,140
3401.360544,70
3400.35482,230
3400.35482,230
3400.309119,110
3400.204012,200
3400.204012,100
3400.204012,300
3400,340
3398.172018,290
3394.43313,250
3390.522876,83
3386.268099,290
3383.574285,220
3380.009657,350
3376.097232,50
3375,270
3374.870197,260
3374.578178,120
3372.325851,320
3371.165299,300
3370.549821,160
3369.565217,310
3369.409843,330
3368.421053,320
3361.972357,180
3358.670674,190
3357.112883,240
3354.203936,300
3350.744062,340
3350.515464,130
3350.034957,1150
3350.008933,750
3349.92343,350
3348.50176,390
3347.630505,320
3347.158553,460
3345.070423,190
3344.481605,300
3337.884995,220
3335.89941,260
3334.299797,230
3333.333333,250
3333.015903,350
3332.407665,240
3332.323538,110
3331.418725,580
3330.305783,330
3322.259136,80
3312.883436,270
3312.396488,1060
3311.258278,410
3308.215402,180
3306.666667,248
3305.004721,210
3304.692664,150
3304.347826,19
3302.999663,490
3301.237964,240
3301.168106,65
3301.056338,75
3300.330033,150
3300.330033,130
3300.330033,210
3299.986105,950
3299.967,300
3299.75686,380
3294.117647,280
3291.639236,150
3285.758291,320
3285.714286,230
3285.151117,650
3285.151117,700
3285.014079,630
3283.156786,530
3282.413837,260
3281.378179,200
3280.182232,360
3280.182232,360
3279.917534,350
3278.03432,1150
3275.642906,670
3273.668092,620
3266.563945,42.4
3265.795788,490
3262.158956,220
3262.004175,250
3260.160835,150
3259.259259,220
3258.721086,610
3258.721086,610
3255.813953,140
3253.173013,48.7
3252.244048,250
3252.03252,240
3251.551877,220
3250.591017,110
3250.270856,150
3248.730964,160
3246.753247,250
3244.448951,320
3242.241779,280
3236.554022,340
3235.124206,280
3233.970754,230
3232.323232,320
3231.597846,18
3230.391523,250
3230.056526,760
3225.806452,180
3224.128965,620
3223.961312,620
3220.674401,830
3220.538873,710
3218.157182,190
3214.613736,630
3214.091915,770
3214.091915,770
3210.066769,500
3205.128205,190
3205.128205,170
3205.128205,180
3205.128205,400
3204.952611,1170
3204.802116,630
3204.802116,630
3204.614645,200
3202.109625,170
3200.59546,86
3200.222624,230
3200.204813,250
3200.189641,270
3200.119074,430
3200,180
3200,320
3200,1500
3200,700
3200,1200
3200,1200
3200,1000
3200,180
3200,400
3200,80
3200,460
3200,100
3200,100
3200,300
3200,500
3200,320
3200,160
3200,700
3199.959041,1250
3199.913223,590
3199.756209,210
3199.741435,99
3199.461143,380
3197.186476,400
3195.052821,620
3195.029953,720
3194.207836,150
3193.102898,800
3187.641758,520
3187.5,1530
3187.182359,370
3186.336987,250
3186.00475,1100
3185.310099,170
3181.818182,630
3180.256965,250
3180.071552,240
3175.10716,600
3174.603175,200
3172.306322,570
3168.027294,260
3167.898627,150
3167.779161,280
3165.224731,300
3164.843114,350
3164.556962,160
3164.556962,250
3163.503164,190
3160.806006,240
3159.003159,180
3158.559697,150
3157.894737,150
3157.894737,150
3157.265978,370
3152.464654,330
3150.684932,230
3150.625809,73
3150.525088,81
3149.606299,68
3148.779848,240
3148.759696,410
3142.857143,220
3142.857143,220
3142.857143,110
3142.801021,160
3142.092401,270
3141.566856,160
3141.196796,200
3139.269406,220
3137.478608,220
3135.888502,180
3135.135135,290
3134.141245,75
3134.040501,130
3132.53012,130
3131.021195,130
3130.434783,360
3128.184468,1320
3126.503127,130
3125.465099,210
3125,320
3123.698459,300
3123.048095,250
3122.21231,140
3122.030677,230
3119.75042,130
3117.820807,190
3115.901313,610
3115.264798,270
3115.264798,280
3115.264798,320
3113.223005,190
3112.033195,180
3111.96451,470
3109.61389,240
3107.734807,270
3107.07457,130
3105.245647,280
3104.947216,300
3104.947216,150
3103.277061,250
3101.402373,57.5
3100.28472,98
3100.198413,250
3100.088574,140
3100.0062,1000
3100,93
3096.528315,520
3092.783505,270
3088.365057,490
3087.563295,250
3087.341898,310
3086.980207,850
3086.980207,170
3085.150144,300
3083.700441,140
3079.838901,130
3070.175439,770
3070.036444,1550
3069.466882,190
3067.190645,320
3067.171046,300
3066.666667,230
3065.010486,190
3065.010486,190
3065.010486,190
3061.536892,300
3059.394451,290
3055.555556,110
3052.631579,290
3052.503053,250
3052.064632,170
3050.108932,210
3049.853372,260
3045.878546,160
3045.29882,160
3044.383913,190
3044.14003,300
3043.478261,140
3040.973111,190
3039.027511,190
3035.060178,290
3034.243606,210
3033.485008,260
3025.245149,290
3024.955886,600
3021.80013,420
3020.279016,210
3020.279016,210
3018.298434,320
3018.01377,320
3017.170443,550
3016.591252,320
3013.69863,90.2
3011.724212,280
3011.514615,170
3010.981226,170
3010.752688,140
3006.409893,530
3004.50676,120
3004.085556,250
3003.003003,120
3000.750188,80
3000.60012,450
3000.428633,210
3000.107147,280
3000.107147,280
3000.096777,310
3000.096777,310
3000.063159,950
3000.063159,950
3000.063159,950
3000.054546,1100
3000.054546,1100
3000.054546,1100
3000.042858,1400
3000.042858,700
3000.035295,850
3000.035295,850
3000.01875,1600
3000.01875,1600
3000,1050
3000,390
3000,75
3000,900
3000,96
3000,930
3000,66
3000,300
3000,420
3000,390
3000,150
3000,180
3000,930
3000,90
3000,2250
3000,150
3000,22.5
3000,90
2999.88462,260
2998.34574,290
2995.370791,330
2994.676131,270
2993.37182,140
2993.328429,1180
2989.702137,270
2987.172729,170
2985.76022,130
2985.074627,250
2983.870968,370
2983.219391,240
2979.392535,720
2979.145978,300
2978.776219,240
2977.801841,110
2977.553825,130
2977.398836,220
2975.241738,280
2972.651605,150
2967.35905,180
2966.533791,320
2962.962963,160
2960.039467,180
2960,370
2955.400322,330
2955.082742,200
2955.082742,200
2953.937044,320
2953.937044,320
2950.819672,90
2950.819672,81
2950.701691,82
2950.66708,95.1
2950.474183,84
2950.200614,250
2950.187223,260
2950.163313,280
2949.852507,300
2949.852507,180
2949.482272,94
2948.652771,290
2944.840865,260
2939.624633,390
2933.333333,220
2933.333333,440
2932.073628,180
2930.005426,270
2929.6875,270
2929.6875,270
2928.147759,390
2928.147759,390
2927.525884,410
2925.486147,170
2925.292529,130
2922.333371,260
2922.034799,220
2920.317063,490
2919.152177,230
2916.666667,280
2914.885348,150
2914.452254,170
2912.517781,81.9
2912.517781,81.9
2912.267929,320
2912.055911,250
2911.409954,210
2909.97841,310
2907.801418,410
2905.190234,520
2900.763359,95
2900.652647,120
2900.177753,310
2900.02175,400
2899.906455,310
2896.551724,210
2895.193978,300
2895.054282,240
2894.736842,110
2894.18847,250
2893.97527,330
2892.069171,97
2890.17341,190
2889.278712,280
2889.045053,370
2888.888889,130
2888.567937,260
2883.922134,240
2883.090673,400
2880.460874,120
2879.97696,3200
2878.787879,190
2876.967338,170
2872.062663,330
2871.598523,210
2870.492927,1800
2869.814767,110
2867.225408,260
2866.325024,330
2860.718756,160
2860.169492,270
2857.142857,120
2857.142857,170
2857.142857,120
2857.142857,350
2857.142857,350
2856.462747,120
2856.201252,260
2855.977152,420
2852.128126,130
2850.435949,85
2850.002192,1300
2850.002192,1300
2849.643795,380
2849.228334,72
2846.29981,180
2845.849802,180
2845.528455,140
2843.973718,290
2841.219539,260
2840.909091,60
2840.404758,160
2839.833396,300
2838.328792,250
2836.879433,120
2836.169503,170
2834.46712,150
2833.333333,170
2833.21015,230
2831.010453,260
2830.674215,220
2830.188679,150
2829.945974,220
2829.044861,210
2828.282828,280
2828.282828,280
2827.901966,210
2824.133504,220
2823.363332,160
2820.121951,370
2819.217667,240
2818.791946,210
2816.901408,220
2816.901408,220
2814.258912,120
2813.348855,290
2812.939522,260
2812.5,450
2811.142346,220
2810.883742,250
2809.482002,160
2807.085471,290
2806.24695,230
2803.738318,240
2800.707547,95
2800.517019,65
2800.517019,130
2800.466744,120
2800.33604,200
2800.179211,250
2800.074669,150
2800.074669,750
2800.019064,2350
2800.016593,1350
2800.013177,850
2800.013177,1700
2800,280
2800,280
2800,33.6
2800,700
2800,280
2800,210
2800,980
2800,210
2800,75.6
2800,280
2800,280
2799.865606,500
2799.865606,500
2799.865606,500
2799.768295,290
2799.736495,85
2799.552072,150
2799.377916,90
2798.744805,330
2797.097067,370
2796.225096,160
2791.996277,120
2791.068581,70
2787.132737,240
2782.995895,400
2780.24911,250
2780.191138,160
2777.006387,100
2775.574941,280
2775.134792,350
2773.969327,870
2771.855011,130
2769.230769,180
2769.162605,250
2766.798419,210
2765.878877,74.9
2765.784114,67.9
2764.340014,160
2763.085182,350
2759.096396,160
2758.966642,110
2758.836083,530
2758.62069,72
2758.62069,240
2758.523129,390
2758.132956,78
2757.251572,250
2756.719504,320
2754.820937,470
2753.786456,220
2752.752753,220
2750.929368,74
2750.275028,150
2750.275028,100
2750.08594,320
2750.008088,1700
2749.809629,650
2749.210875,270
2749.210875,270
2749.210875,270
2748.385324,200
2746.365105,170
2745.1411,250
2744.961779,79
2743.975185,230
2743.484225,140
2743.29607,400
2742.098427,190
2740.083507,210
2739.726027,240
2738.89227,180
2738.22563,150
2736.842105,260
2735.016019,350
2734.808991,320
2733.734281,200
2733.485194,180
2730.375427,240
2730.375427,240
2730.136507,390
2729.608221,170
2728.264824,150
2727.856226,85
2727.272727,150
2727.272727,150
2727.272727,150
2726.171244,270
2724.088727,210
2720.348205,200
2720,170
2720,340
2720,170
2720,170
2718.868951,650
2718.868951,650
2716.899112,300
2713.090662,240
2710.0271,250
2710.0271,230
2710.0271,250
2710.0271,240
2710.0271,220
2710.0271,270
2708.333333,130
2708.070049,300
2707.000981,800
2706.486234,290
2705.882353,230
2703.71061,290
2701.659591,210
2700.457,65
2700.457,65
2700.457,65
2700.457,130
2700.457,130
2700.348432,93
2700.270027,150
2700.270027,240
2700.242718,44.5
2700.096432,56
2700.075602,250
2700.049092,220
2700,270
2699.96625,240
2699.859748,77
2696.109899,210
2695.035461,190
2695.035461,190
2695.035461,190
2691.511387,130
2690.954254,260
2690.012716,550
2689.07563,240
2689.07563,240
2689.039475,250
2689.039475,250
2687.208886,1050
2686.858818,220
2685.861624,500
2684.351808,170
2682.563338,360
2680.311891,110
2680.021657,99
2679.58951,94
2678.874195,79
2677.913905,400
2674.956622,92.5
2674.217398,170
2672.81106,580
2671.41585,210
2669.514148,100
2666.666667,640
2666.666667,120
2666.666667,200
2666.666667,120
2666.666667,200
2666.666667,200
2666.666667,100
2666.666667,320
2666.666667,160
2666.328085,210
2666.158827,280
2666.020359,220
2665.739453,230
2664.446295,160
2663.760746,440
2660.575114,99
2660.406886,170
2659.574468,100
2657.807309,240
2657.101103,200
2655.807365,300
2655.650634,270
2654.462243,290
2653.041171,270
2652.519894,230
2652.519894,230
2650.727651,51
2650.299902,190
2650.059626,1000
2650.027705,1100
2650.020611,900
2648.104714,350
2645.082791,500
2645.078551,330
2641.90217,330
2640.161516,170
2640.105604,220
2638.888889,190
2637.594514,150
2637.227844,86
2637.187001,99
2636.976267,90
2636.296531,250
2635.277583,150
2635.277583,150
2634.178466,240
2633.311389,240
2633.311389,240
2632.040709,150
2631.880078,230
2631.578947,230
2631.578947,600
2630.976893,230
2630.949534,110
2630.949534,110
2628.120894,240
2627.2578,160
2626.123013,190
2625.925042,220
2625.714286,91.9
2625.054689,360
2624.808576,85.7
2624.425907,280
2624.425907,280
2623.083132,390
2623.051998,170
2622.498275,190
2622.377622,180
2622.02501,260
2620.485359,230
2620.373403,160
2620.221948,170
2619.047619,110
2619.047619,110
2619.047619,110
2619.010938,170
2616.170425,210
2615.31146,220
2615.183447,340
2614.904958,520
2614.676292,460
2614.663907,240
2614.379085,100
2613.890963,35
2612.031671,320
2610.656224,220
2610.316967,210
2610.086722,310
2609.992543,210
2608.695652,240
2606.202763,200
2604.166667,300
2603.123748,130
2601.908066,270
2600.671141,62
2600.602245,95
2600.472813,99
2600.472813,110
2600.404507,90
2600.404507,90
2600.297177,210
2600.183542,170
2600.183542,85
2600.183542,85
2600.104004,450
2600.104004,50
2600.104004,100
2600.104004,250
2600.082542,63
2600.028889,900
2600.028889,180
2600.0195,800
2600.016774,310
2600.004771,1090
2600,130
2600,260
2600,65
2600,78
2600,65
2599.903707,270
2599.833611,250
2599.388379,170
2598.960416,130
2597.065316,200
2596.728123,200
2595.508895,89
2594.95164,220
2593.473093,120
2592.592593,140
2591.858515,170
2591.722686,320
2591.026865,190
2588.867868,260
2586.578531,180
2584.236159,260
2582.925503,190
2581.926514,130
2581.658997,230
2580.867171,75
2580.423189,150
2580.389043,130
2579.274769,170
2578.101304,340
2578.101304,170
2577.082375,560
2577.082375,560
2575.87754,97.6
2575.713026,87.6
2575.532442,260
2575.107296,120
2574.959945,450
2574.73895,180
2574.223443,150
2573.588548,160
2573.238321,130
2572.898799,180
2572.729072,130
2572.055375,680
2571.428571,180
2571.428571,180
2571.094663,330
2570.914389,300
2570.327003,180
2569.793248,220
2569.435948,420
2568.956193,190
2566.295979,120
2565.833896,190
2564.102564,58
2563.281,160
2563.163676,280
2563.128916,270
2562.929062,56
2562.870415,160
2562.459962,160
2562.459962,160
2561.756633,140
2560.124127,330
2560.106857,230
2559.925529,110
2559.181062,160
2558.139535,110
2556.890821,200
2555.677254,70
2555.238238,170
2555.094219,240
2550.44843,91
2550.428936,110
2550.369804,100
2550.297535,90
2550.255026,170
2550.239723,250
2550.133302,220
2550.061738,950
2550.0255,850
2550.019616,65
2550.019616,1300
2550.019616,1300
2550,91.8
2549.872506,170
2549.519514,130
2549.519514,130
2549.019608,130
2548.939641,250
2548.283262,190
2548.160228,250
2545.454545,140
2545.008955,270
2544.529262,150
2544.01821,760
2542.626383,170
2542.470819,220
2541.699762,160
2541.589649,110
2540.289538,93
2539.605756,210
2539.088601,190
2537.151142,140
2536.023055,220
2535.101404,130
2535.083748,56
2534.685165,190
2534.318902,120
2533.333333,190
2533.333333,190
2531.64557,210
2531.378547,240
2531.378547,240
2530.730296,210
2530.577815,180
2530.272908,140
2528.613255,190
2528.199144,130
2528.199144,130
2527.113825,480
2527.039321,250
2526.595745,95
2526.378362,170
2526.16384,140
2526.122402,220
2526.122402,220
2525.743151,520
2525.743151,520
2525.013414,800
2521.273243,160
2520.16129,150
2520.045819,110
2520.011859,85
2519.379845,65
2517.532818,140
2517.080187,140
2516.281824,85
2514.367816,140
2512.913584,180
2511.210762,140
2511.128867,220
2509.410289,120
2508.623393,320
2508.623393,160
2506.635211,85
2506.614678,180
2504.173623,150
2502.944641,170
2502.737369,160
2502.085071,120
2501.954652,160
2501.924557,130
2501.683826,260
2500,160
2500,150
2500,180
2500,100
2500,800
2500,85
2500,1800
2500,480
2500,560
2500,530
2500,100
2500,140
2500,300
2500,200
2500,210
2500,210
2500,90
2500,210
2500,98.6
2500,300
2500,230
2500,2050
2500,88
2500,67
2500,2550
2500,800
2500,100
2500,60
2500,220
2500,170
2500,95
2500,230
2500,82.5
2500,1000
2500,750
2500,160
2500,1350
2500,140
2500,350
2500,120
2500,850
2500,450
2500,1800
2500,520
2500,250
2500,1500
2500,530
2500,35
2500,180
2500,250
2500,52
2500,45
2499.519323,130
2498.440424,80.1
2494.747899,95
2494.387628,100
2492.729539,120
2492.331288,130
2492.130115,190
2491.376006,130
2491.177081,120
2491.064659,230
2490.421456,130
2489.40678,94
2488.038278,650
2488.004265,140
2486.999774,110
2486.236903,140
2485.659656,130
2485.34285,97.5
2485.089463,150
2485,99.4
2485,99.4
2484.70948,130
2484.234665,130
2482.8392,170
2480.510276,140
2480.442664,130
2480.442664,130
2480.211082,94
2479.543764,100
2478.929103,200
2478.851577,96.7
2478.521218,95.2
2478.26087,570
2476.662221,130
2476.662221,130
2476.609796,180
2476.190476,59.8
2475.375842,95.5
2475.247525,230
2475.247525,130
2475.247525,95
2475.247525,95
2474.94122,200
2474.776318,130
2473.684211,470
2473.546791,180
2473.363775,130
2472.952087,160
2472.952087,160
2472.465723,110
2470.588235,420
2470.406588,96
2470.007057,210
2465.656921,420
2465.656921,420
2465.367457,210
2465.078061,390
2463.552916,730
2462.620932,140
2462.121212,130
2461.538462,160
2461.538462,320
2461.538462,160
2460.811147,98.9
2460.755197,58
2460.168697,210
2459.985225,99.9
2457.974879,1180
2456.93307,87
2456.197806,150
2455.146364,130
2454.545455,270
2454.545455,270
2454.3379,430
2454.3379,430
2453.756134,130
2453.430259,270
2453.125,78.5
2452.984464,180
2452.830189,130
2451.904942,130
2450.980392,40
2450.627072,170
2450.379809,100
2450.348207,95
2450.106914,550
2450.04211,320
2450.006622,370
2449.77952,200
2449.77952,150
2449.26522,210
2448.979592,240
2448.979592,240
2445.785097,150
2445.57113,82
2445.531347,110
2445.302445,95
2445.226917,250
2444.987775,270
2444.444444,220
2444.444444,220
2441.773103,130
2440.512508,80
2440.368417,620
2439.874521,210
2439.285714,68.3
2438.528754,120
2438.429651,100
2438.363587,180
2438.231469,300
2436.738519,130
2436.522185,190
2435.064935,150
2435.064935,150
2434.8673,100
2432.778489,190
2432.432432,180
2432.432432,180
2432.01415,110
2430.654847,170
2430.468554,97
2430.379747,96
2430.307362,170
2430.289076,95
2430.274274,210
2430.274274,210
2429.48322,590
2429.268293,99.6
2429.149798,150
2428.571429,170
2428.571429,170
2428.571429,170
2427.184466,250
2427.184466,170
2427.184466,170
2427.184466,170
2426.763737,140
2425.325504,190
2425.19685,77
2425.154708,290
2425.015954,190
2424.662279,140
2424.242424,120
2424.242424,400
2424.242424,140
2423.263328,120
2422.089456,150
2420.856611,65
2420.203437,69
2420.168067,72
2420.135528,300
2420.135528,150
2420.091324,530
2420.051858,140
2419.549964,200
2419.457532,190
2413.984462,43.5
2413.793103,140
2413.290586,82.8
2412.698413,190
2412.545235,80
2409.961173,180
2409.316022,180
2409.058058,200
2408.993576,180
2408.477842,150
2408.348943,180
2407.407407,130
2407.152682,280
2407.152682,280
2406.159769,100
2405.130946,180
2404.735479,130
2402.022756,19
2401.719125,190
2400.960384,40
2400.573271,67
2400.573271,67
2400.548697,70
2400.548697,70
2400.45185,85
2400.384061,50
2400.384061,100
2400.295421,65
2400.282386,68
2400.240024,80
2400.174558,110
2400.15361,250
2400.137151,140
2400.137151,140
2400.112946,170
2400.096004,200
2400.083481,230
2400.073848,260
2400.045177,850
2400.038401,1000
2400.024,800
2400.024,800
2400.020211,950
2400.017455,1100
2400,300
2400,69
2400,840
2400,45
2400,120
2400,51
2400,120
2400,60
2400,210
2400,150
2400,90
2400,90
2400,98.4
2400,75
2400,150
2400,60
2400,120
2400,600
2400,90
2400,330
2400,750
2400,120
2400,120
2400,300
2400,180
2400,120
2399.725746,140
2399.232246,25
2399.232246,50
2398.081535,100
2397.660819,82
2397.442728,90
2396.866841,45.9
2395.833333,230
2395.315827,270
2394.799863,140
2394.153226,95
2393.162393,350
2393.031492,250
2393.031492,250
2392.344498,120
2392.017496,350
2391.304348,110
2391.304348,110
2390.091982,330
2388.888889,86
2388.535032,210
2388.388756,130
2388.388756,130
2388.059701,160
2387.394557,150
2387.096774,370
2387.01464,750
2386.309402,350
2385.984048,350
2385.211688,200
2384.196185,140
2383.474576,720
2383.474576,720
2382.978723,140
2382.654277,100
2381.762504,420
2380.952381,250
2380.952381,100
2380.952381,100
2380.952381,160
2380.952381,100
2380.498953,250
2380.374059,98
2380.057622,190
2378.378378,110
2377.079945,190
2376.923077,61.8
2376.708259,320
2375.92397,270
2375.296912,120
2375.122429,97
2375.071252,250
2375.031087,95.5
2375,190
2375,190
2375,190
2375,190
2375,190
2373.562169,130
2371.882412,330
2371.695179,91.5
2371.474549,280
2371.409486,71
2371.134021,230
2368.157391,260
2368.031574,48
2367.664468,140
2366.666667,78.1
2366.100237,110
2365.664076,140
2365.356623,130
2365.264403,140
2365.082778,110
2365.082778,110
2364.926323,130
2364.864865,140
2364.672365,83
2363.636364,130
2363.080345,170
2362.204724,150
2361.739815,120
2361.460957,150
2361.111111,170
2360.346184,90
2360.056051,320
2360.056051,320
2359.979633,92.7
2359.72732,180
2358.490566,65
2357.142857,330
2356.432187,270
2355.844739,210
2355.481402,480
2355.072464,130
2354.859161,260
2354.452055,220
2353.996189,210
2353.336695,140
2353.287248,160
2353.257581,350
2352.941176,160
2352.941176,170
2351.281448,200
2350.965575,56
2350.813743,52
2350.483155,90
2350.42735,110
2350.42735,110
2350.42735,99
2350.243623,82
2350.176263,160
2350.176263,120
2350.176263,140
2350.176263,200
2350.176263,300
